iter	Logloss
0	0.3425883155
1	0.3075451684
2	0.2998303868
3	0.2955322733
4	0.2915358493
5	0.2847748444
6	0.2778490253
7	0.2733784362
8	0.2650453283
9	0.2624488326
10	0.2579530686
11	0.2552084549
12	0.2506535387
13	0.2481134786
14	0.2452598969
15	0.2426595575
16	0.240292416
17	0.2383673678
18	0.2340330123
19	0.2311451738
20	0.2284506181
21	0.2262579201
22	0.2243645081
23	0.2227448628
24	0.2193317595
25	0.2178104531
26	0.2158544921
27	0.2142782768
28	0.2122798593
29	0.2114272668
30	0.2092991684
31	0.2080255275
32	0.2070259047
33	0.204054599
34	0.2032576917
35	0.2014990857
36	0.2000946239
37	0.1989464643
38	0.1974637754
39	0.1961198529
40	0.1945101614
41	0.1933898381
42	0.1922383433
43	0.1908916133
44	0.1898998912
45	0.1890804461
46	0.1879103514
47	0.1866013657
48	0.1854405868
49	0.1846475499
