iter	Passed	Remaining
0	1505	73758
1	3162	75903
2	4268	66880
3	5299	60949
4	6605	59450
5	8035	58925
6	8935	54889
7	9873	51835
8	11073	50444
9	12164	48658
10	13399	47507
11	14468	45817
12	15745	44815
13	17005	43729
14	18189	42442
15	19641	41738
16	20601	39991
17	21476	38179
18	22839	37263
19	24160	36240
20	25302	34941
21	26463	33681
22	27409	32176
23	28519	30896
24	29997	29997
25	31181	28783
26	32198	27428
27	33597	26398
28	34659	25098
29	35499	23666
30	36635	22454
31	37764	21242
32	38771	19973
33	40151	18894
34	41259	17682
35	42543	16544
36	43759	15374
37	45007	14212
38	46388	13084
39	47580	11895
40	49241	10809
41	50345	9589
42	51724	8420
43	53200	7254
44	54356	6039
45	55573	4832
46	56627	3614
47	57947	2414
48	59246	1209
49	60389	0
